feature,perm_importance_mean,perm_importance_std
sim_char3_name,0.05766678563825493,0.0028997282074963962
state_match,0.019785516363734646,0.0006961172242725308
miss_x_city,0.006516280266946039,0.0003589069823389627
first_initial_match,0.004835985878504001,0.0003922423045650399
sim_tfidf_name,0.003279471024063607,0.0005837033386131639
sim_jw_fullname,0.0018961257240425633,0.0003782727034513275
sim_jw_lastname,0.0015342644079149536,0.000493658654993653
sim_jacc_fullname,0.0012966642526212712,0.00040677971413075455
sim_jw_street1,0.0008610188242556438,0.0004340394471963486
sim_lev_lastname,0.0008359188983890098,0.00047865951543699385
zip_match,0.0004648715335985543,0.0003425868168907928
sim_jacc_lastname,0.0002687110013847471,0.0002925077434663733
sim_lev_fullname,0.00018608134504412012,0.00022290938263159576
zip3_match,0.0001579044540132024,0.0001761959029261064
sim_soundex_last,3.339193322819956e-05,5.586719049594634e-06
suffix_match,0.0,0.0
org_vs_person_conflict,0.0,0.0
org_keyword_match,0.0,0.0
miss_x_street1,0.0,0.0
miss_x_state,0.0,0.0
miss_x_last,0.0,0.0
miss_x_first,0.0,0.0
miss_b_zip5,0.0,0.0
miss_b_street1,0.0,0.0
miss_b_state,0.0,0.0
miss_b_last,0.0,0.0
miss_b_first,0.0,0.0
miss_b_city,0.0,0.0
miss_x_zip5,-2.53821225146833e-06,0.00032927314969876894
sim_jw_city,-3.998681332939569e-06,0.0002610467168533877
credential_overlap,-0.00014620214331877434,0.0001142161152972063
