model,best_params,holdout_pr_auc,holdout_roc_auc,holdout_f1_at_best,holdout_precision_at_best,holdout_recall_at_best,holdout_precision_at_prec_target,holdout_recall_at_prec_target,best_f1_threshold,precision_target_threshold,calibrated
grad_boost,"{""min_samples_leaf"": 40, ""max_iter"": 700, ""max_depth"": 5, ""learning_rate"": 0.1, ""l2_regularization"": 0.01}",0.9818567173368976,0.9989380653699895,0.9841498959056211,0.9733692071161871,0.9951720653455342,0.9529090324654452,0.9985403918486498,0.47222222222222215,0.2049083927663723,True
logreg,"{""clf__C"": 100.0}",0.9773130000012776,0.9987772092395599,0.9823500027751568,0.9713517370067505,0.9936001796440802,0.9500454132606722,0.9982596979733902,0.3660182568776827,0.10086185140249666,True
random_forest,"{""n_estimators"": 200, ""min_samples_leaf"": 5, ""max_features"": 0.5, ""max_depth"": 10}",0.9759906238554189,0.9988095610022667,0.9842537147926369,0.9722328714606495,0.9965755347218324,0.9507776174442841,0.9987088081738057,0.31256094862144307,0.03744665058452403,True
