feature,coef
sim_char3_name,2.8629264177737643
sim_tfidf_name,2.0051929917279576
sim_jw_fullname,1.6644912515928107
sim_jw_street1,1.599579562476081
first_initial_match,1.5452260212364057
miss_x_city,0.9730490803627249
miss_x_street1,0.9730490803627249
miss_x_zip5,0.6706890114314161
zip3_match,0.6670795448288479
sim_zip_num,0.10054005382202841
credential_overlap,0.08237832582974382
suffix_match,0.052314236865109595
sim_jacc_fullname,0.02537774344006897
miss_b_zip5,0.017868732553171143
miss_b_state,0.017868732553171143
org_keyword_match,0.009882750036651415
miss_b_last,0.007027000018993478
miss_x_state,0.0
miss_b_street1,0.0
miss_x_last,0.0
miss_b_city,0.0
n_years_b,-8.433770235690991e-16
org_vs_person_conflict,-0.00910330043467969
miss_b_first,-0.009303240074690024
miss_x_first,-0.08027328383160816
sim_lev_lastname,-0.08451956971089644
zip_match,-0.14639401111075445
sim_jw_city,-0.19973820126095962
sim_jw_lastname,-0.4244292687345564
sim_jacc_lastname,-0.9670087923446816
sim_soundex_last,-1.0823695423790674
sim_lev_fullname,-1.4536341477601864
state_match,-1.6282556411558982
