round,labeled_size,n_positives,val_pr_auc,val_f1
0,53328,13332,0.9760467562431434,0.9805728241563055
1,53428,13344,0.9771581525176037,0.9817615658362989
2,53528,13366,0.9760218967713454,0.9820892201579708
