dataset,col,count,mean,std,p01,p50,p99,min,max
providers_a,sum_benes,60751,644.4154664120755,5318.353488908154,11.0,232.0,5002.0,11.0,908000.0
providers_a,sum_srvcs,60751,2353.609086270185,32808.11995753056,12.0,421.0,25295.5,11.0,5400603.0
providers_a,mean_avg_std_amt,60751,81.37641565866082,138.79697201985923,11.405957854406129,67.7318350175,342.24840489558545,0.0754411765,10616.663498475
providers_b,sum_payment_amount,105203,349.41927083828415,12491.717933883729,6.55,35.36,2928.59,0.72,3458579.23
providers_b,mean_payment_amount,105203,113.48702798647383,4147.77338100523,5.4601999999999995,19.45,1000.0,0.72,1152859.7433333334
