,sum_benes,sum_srvcs,mean_avg_std_amt
sum_benes,1.0,0.3665287703053072,0.0016758953617283393
sum_srvcs,0.3665287703053072,1.0,0.0021252890465287126
mean_avg_std_amt,0.0016758953617283393,0.0021252890465287126,1.0
