npi,sum_benes,dataset,metric,reason,sum_srvcs,profile_id,sum_payment_amount
1043201106,3751.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043207228,3293.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013016732,2532.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1053340802,9867.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033321450,5372.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033136551,4206.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013982305,4606.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013997337,3670.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043574338,2570.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013911791,3117.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013259167,5275.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013913326,3058.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043396245,4895.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043315153,2955.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003808544,9212.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023058989,3285.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023098928,6595.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033479233,2888.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003809435,2835.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033346721,2646.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013111376,2903.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043338338,4491.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043288657,6439.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023002813,7468.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043265937,3299.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013097534,2569.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033131610,3156.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033222849,2773.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1053317198,7222.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043258270,3274.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013928407,5361.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043474042,6994.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033104773,3221.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003801705,4510.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043273451,4800.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043449598,2896.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013918010,5235.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033126735,2745.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043216682,302288.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013968478,15996.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043311244,3231.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003948464,13035.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023370913,2554.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003851833,2769.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033105747,3751.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043209950,3502.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1053307421,2977.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023157260,3020.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013915784,2813.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003105677,3232.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023220381,2823.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023062502,3682.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003075433,4190.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043206980,7830.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003859679,7718.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003894569,4431.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033161088,2713.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003128976,3103.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1053324962,2992.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043858996,27332.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003174814,2785.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013117977,4914.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003863929,19441.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043651516,3242.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023060415,3753.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043299274,3186.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003802901,3782.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003805052,4489.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013234624,6147.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023452836,2671.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023050341,4140.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023468709,3722.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033167846,2831.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033503164,3723.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
